Description ID,Event,Test ID,Day,Start Time,Location,Staff Required,Mark,UID,Scout Instructions,Base Instructions,Completed,Join
17,Water Purification,7,1,14:00,Dam,106,10,117,"The next scene in your film is set in a treacherous marshland. Amidst the chaos, the crew realized they've forgotten to bring clean water! Now, the actors are parched, and it's up to you to quench their thirst. Using only the materials you find and what you have brought with you, can you engineer a water filter to transform the murky marsh water into a refreshing drink?","Scouts must construct a standard water filter using whatever resources they have brough in their equipment and STA kit. This filter should contain something along the lines of rocks, sand, and cotton wool - or equivilant in appropriate layers to filter various sizes of pollutants. Judges should assess:

1. Large filter substance (rocks) - Check for placement and quantity.
2. Medium Filter Substance (sand) - Check for even spread and depth.
3. Fine filter substance (cotten wool) - Ensure presence and appropriate quantity.
4. Collection vessel for water - Ensure it's appropriately placed to collect filtered water.
5. Quality of filtered water:
   - Clear water: 4 marks.
   - Dirty but no visible particles: 3 marks.
   - Dirty with visible particulates: 2 marks.
   - No noticeable change: 1 mark.

Scouts may leave the base to get more equipment from their campsite.
",TRUE,"The next scene in your film is set in a treacherous marshland. Amidst the chaos, the crew realized they've forgotten to bring clean water! Now, the actors are parched, and it's up to you to quench their thirst. Using only the materials you find and what you have brought with you, can you engineer a water filter to transform the murky marsh water into a refreshing drink?

Scouts must construct a standard water filter using whatever resources they have brough in their equipment and STA kit. This filter should contain something along the lines of rocks, sand, and cotton wool - or equivilant in appropriate layers to filter various sizes of pollutants. Judges should assess:

1. Large filter substance (rocks) - Check for placement and quantity.
2. Medium Filter Substance (sand) - Check for even spread and depth.
3. Fine filter substance (cotten wool) - Ensure presence and appropriate quantity.
4. Collection vessel for water - Ensure it's appropriately placed to collect filtered water.
5. Quality of filtered water:
   - Clear water: 4 marks.
   - Dirty but no visible particles: 3 marks.
   - Dirty with visible particulates: 2 marks.
   - No noticeable change: 1 mark.

Scouts may leave the base to get more equipment from their campsite.
"
18,Compass Rose,8,1,14:00,Barn,106,10,118,"In order to get the lighting correct, the set director needs to know which direction the sun will rise and set. You need to assist them, by drawing a 16 point compase rose, and clearly labeling each point.  ","Scouts to draw 16 point compass rose. Award marks for the correct eight major labels, specifically North, South, East, West, North-East, North-West, South-East and South-West. If they got any of the midway points incorrect (i.e. NNE, WSW, etc.) they can only get a maximum of 8 marks.",TRUE,"In order to get the lighting correct, the set director needs to know which direction the sun will rise and set. You need to assist them, by drawing a 16 point compase rose, and clearly labeling each point.  

Scouts to draw 16 point compass rose. Award marks for the correct eight major labels, specifically North, South, East, West, North-East, North-West, South-East and South-West. If they got any of the midway points incorrect (i.e. NNE, WSW, etc.) they can only get a maximum of 8 marks."
19,Magnetic Declination,9,1,14:30,L2,106,10,119,"The film's climactic scene is about to be shot, but the director is concerned about unwanted shadows! As the set's navigation expert, you're tasked with ensuring that the stage elements are precisely oriented. Use your compass skills to identify and report true north bearings of key set pieces. Then, follow given bearings to discover which props they lead to. Your precision can make or break this pivotal scene!","Scouts are given two items of your choosing to take bearings of. Using their magnetic compasses, they must report a true north bearing, taking into account magnetic declination (-25.8°). Award points based on accuracy:
- Within 5 degrees: 2 marks
- Within 10 degrees: 1 mark

Subsequently, you must provide the Scouts with two true north bearings. They must calculate the magnetic bearing and then orientate their compass to these bearings and describe the items they point to. Award 2 marks for each correctly identified item. Ensure that the bearings lead to distinct and easily identifiable objects in view.

Important: Judges need to arrive early to take and record the bearings and back bearings for the memo. ",TRUE,"The film's climactic scene is about to be shot, but the director is concerned about unwanted shadows! As the set's navigation expert, you're tasked with ensuring that the stage elements are precisely oriented. Use your compass skills to identify and report true north bearings of key set pieces. Then, follow given bearings to discover which props they lead to. Your precision can make or break this pivotal scene!

Scouts are given two items of your choosing to take bearings of. Using their magnetic compasses, they must report a true north bearing, taking into account magnetic declination (-25.8°). Award points based on accuracy:
- Within 5 degrees: 2 marks
- Within 10 degrees: 1 mark

Subsequently, you must provide the Scouts with two true north bearings. They must calculate the magnetic bearing and then orientate their compass to these bearings and describe the items they point to. Award 2 marks for each correctly identified item. Ensure that the bearings lead to distinct and easily identifiable objects in view.

Important: Judges need to arrive early to take and record the bearings and back bearings for the memo. "
20,Spanish Windlass,10,1,14:30,Campfire,108,10,120,"During the shoot of an intense off-road chase scene in Indiana Jones and the Kingdom of the Gordon Shield, the director's prized vintage car got stuck in the mud! The towing services are hours away, but the golden hour of filming is fleeting. Using pioneering skills, can you construct a Spanish Windlass to rescue the vehicle and save the day's shoot?","Scouts are required to construct a Spanish Windlass to move a bench a distance of your choosing. They should make the correct attachments, either using a round-turn or bowline. The setup of the windlass should be precise, with one pole upright and another stave perpendicular to the first, weaving the rope over it. It's crucial that they move the object (bench) and demonstrate safe operation around the windlass considering the tension. Scouts must also explain the safety precautions necessary when making use of a Spanish Windlass.
",TRUE,"During the shoot of an intense off-road chase scene in Indiana Jones and the Kingdom of the Gordon Shield, the director's prized vintage car got stuck in the mud! The towing services are hours away, but the golden hour of filming is fleeting. Using pioneering skills, can you construct a Spanish Windlass to rescue the vehicle and save the day's shoot?

Scouts are required to construct a Spanish Windlass to move a bench a distance of your choosing. They should make the correct attachments, either using a round-turn or bowline. The setup of the windlass should be precise, with one pole upright and another stave perpendicular to the first, weaving the rope over it. It's crucial that they move the object (bench) and demonstrate safe operation around the windlass considering the tension. Scouts must also explain the safety precautions necessary when making use of a Spanish Windlass.
"
21,Media Crew (First Aid),0,1,14:45,Main Field,803,0,121,,"At the First Aid base, capture footage and photos of the Scouts in action as they apply first aid to one another. Focus on candidness and emotions, as well as general shots of the base in action. Play around with unique and interesting shots and angles, and attempt different intro and exit transitions for special effects in post.",TRUE,
22,Ground to Air Signals,11,1,15:00,Lower Field,108,10,122,"While filming a nail-biting scene for the 'Extraction' sequel, the lead actor realizes he's forgotten how to signal for help to the plane overhead! As part of the crew, it falls on you to quickly teach him the vital ground-to-air signals. Can you identify the signals laid out on set? Once you've shown your expertise, the director has also asked if you can draw out a couple of signals for the next scene.","A set of six ground-to-air signals are arranged on the ground at your choosing using staves or pioneering poles. The scouts' task is to describe the meaning of each symbol. Following this, they are required to draw two specific symbols, which will be chosen by you. Ensure they identify and draw the signals correctly.",TRUE,"While filming a nail-biting scene for the 'Extraction' sequel, the lead actor realizes he's forgotten how to signal for help to the plane overhead! As part of the crew, it falls on you to quickly teach him the vital ground-to-air signals. Can you identify the signals laid out on set? Once you've shown your expertise, the director has also asked if you can draw out a couple of signals for the next scene.

A set of six ground-to-air signals are arranged on the ground at your choosing using staves or pioneering poles. The scouts' task is to describe the meaning of each symbol. Following this, they are required to draw two specific symbols, which will be chosen by you. Ensure they identify and draw the signals correctly."
23,First Aid: Carry and Fracture,12,1,15:00,Main Field,110,10,123,"During a chaotic scene involving a chase through the woods of the new Hunger Games prequel, one of the actors has taken a nasty fall and broken their leg. The director shouts for a medic, but they're caught up in another scene! It's up to you to step in. Can you stabilize the leg with a splint, make sure the actor is comfortable, and then transport them to the medical tent using a three-handed carry?
","Upon arrival, scouts are told that the P3 has fractured their leg and can no longer walk. Scouts are to create a splint for the leg, ensuring it's of appropriate length and sturdiness. They must then strap the leg ensuring the bandages are comfortable and not too tight. Once the leg is stabilized, they must transport the patient using the three-handed carry to a location determined by the staff. Points will be awarded based on splint construction, comfort, and transportation technique.
",TRUE,"During a chaotic scene involving a chase through the woods of the new Hunger Games prequel, one of the actors has taken a nasty fall and broken their leg. The director shouts for a medic, but they're caught up in another scene! It's up to you to step in. Can you stabilize the leg with a splint, make sure the actor is comfortable, and then transport them to the medical tent using a three-handed carry?


Upon arrival, scouts are told that the P3 has fractured their leg and can no longer walk. Scouts are to create a splint for the leg, ensuring it's of appropriate length and sturdiness. They must then strap the leg ensuring the bandages are comfortable and not too tight. Once the leg is stabilized, they must transport the patient using the three-handed carry to a location determined by the staff. Points will be awarded based on splint construction, comfort, and transportation technique.
"
24,Lego Set,13,1,15:30,Barn,110,10,124,"An eccentric director has envisioned an intricate set design for her upcoming movie, but the blueprint has been lost! There's only one model left of the envisioned set. Can your patrol recreate it from memory? Your task is to replicate a LEGO model with the pieces provided. Due to technical limitations, only one of you can look at the original, and the other has to build it. But be careful! You can only take a peek at the original model a maximum of 5 times. Lights, camera, LEGO!","The staff is to construct a LEGO model of their own devising. The P6 may look at the structure a maximum of 5 times and must instruct the APL on how to build the structure. Points will be awarded based on the accuracy of the replicated model, as well as communication skills demonstrated by the team. Ensure you count the number of times P6 looks at the original model. Maximum of 5 minutes allowed per team - ensure that this is timed for each team

- Award 2 marks if they only looked 3 or less times, and then minus one point for every subsequent look
- Award 5 marks for correct replication of model (minus 1 point for every 4 blocks incorrect)
- Award 1 mark if the scouts take less than 4 minutes, else 0 marks
- Award 2 marks if communication was clear and understood, 1 mark if a good attempt was made, 0 if the instructions were incoherent",TRUE,"An eccentric director has envisioned an intricate set design for her upcoming movie, but the blueprint has been lost! There's only one model left of the envisioned set. Can your patrol recreate it from memory? Your task is to replicate a LEGO model with the pieces provided. Due to technical limitations, only one of you can look at the original, and the other has to build it. But be careful! You can only take a peek at the original model a maximum of 5 times. Lights, camera, LEGO!

The staff is to construct a LEGO model of their own devising. The P6 may look at the structure a maximum of 5 times and must instruct the APL on how to build the structure. Points will be awarded based on the accuracy of the replicated model, as well as communication skills demonstrated by the team. Ensure you count the number of times P6 looks at the original model. Maximum of 5 minutes allowed per team - ensure that this is timed for each team

- Award 2 marks if they only looked 3 or less times, and then minus one point for every subsequent look
- Award 5 marks for correct replication of model (minus 1 point for every 4 blocks incorrect)
- Award 1 mark if the scouts take less than 4 minutes, else 0 marks
- Award 2 marks if communication was clear and understood, 1 mark if a good attempt was made, 0 if the instructions were incoherent"
25,Snake Identification,14,1,15:30,Chapel,106,10,125,"The director is in a bind! The script for the new nature documentary series episode, ""Serpents of the South"", has gone missing. You need to help out by correctly identifying these snakes and naming their venom types to keep the shoot on track!","Scouts are to identify the snake name and its venom type from the provided images. The snakes and their respective venoms are as follows:

1. Cape Cobra - neurotoxic
2. Boomslang - haemotoxic
3. Berg adder - neurotoxic
4. Puff adder - cytotoxic

Ensure that the scouts identify both the snake and its venom type correctly.
",TRUE,"The director is in a bind! The script for the new nature documentary series episode, ""Serpents of the South"", has gone missing. You need to help out by correctly identifying these snakes and naming their venom types to keep the shoot on track!

Scouts are to identify the snake name and its venom type from the provided images. The snakes and their respective venoms are as follows:

1. Cape Cobra - neurotoxic
2. Boomslang - haemotoxic
3. Berg adder - neurotoxic
4. Puff adder - cytotoxic

Ensure that the scouts identify both the snake and its venom type correctly.
"
26,Media Crew (Pellet Guns),0,1,15:45,L4,803,0,126,,"At the Pellet Gun base, capture footage and photos of the Scouts in action as they attempt to shoot the target. Focus on candidness and emotions, as well action shots of the Scouts firing, and hitting the target. Play around with unique and interesting shots and angles, and change up the focal length to get dynamic shots of the action. Try using different intro and exit transitions for special effects in post.",TRUE,
27,Fire Starting,15,1,16:00,Campfire,108,5,127,"The movie set's special effects have malfunctioned, and the director needs a fire, pronto! The props team has only left behind a battery and some steel wool. It's up to you to save the scene! Can you ignite the fire using these unlikely tools? And once you've lit up the screen, ensure you safely extinguish your masterpiece.",Scouts are to use a battery and steel wool to start a small fire. The tinder and kindling will be provided. Points are awarded for the correct set-up and method. Flames must be clearly visible before instructing the scout to stop. Ensure there's sand readily available to put out any unwanted fires. Award points for successfully starting and then properly extinguishing the fire.,TRUE,"The movie set's special effects have malfunctioned, and the director needs a fire, pronto! The props team has only left behind a battery and some steel wool. It's up to you to save the scene! Can you ignite the fire using these unlikely tools? And once you've lit up the screen, ensure you safely extinguish your masterpiece.

Scouts are to use a battery and steel wool to start a small fire. The tinder and kindling will be provided. Points are awarded for the correct set-up and method. Flames must be clearly visible before instructing the scout to stop. Ensure there's sand readily available to put out any unwanted fires. Award points for successfully starting and then properly extinguishing the fire."
28,Pellet Guns,16,1,16:00,L4,110,5,128,Keanu Reeves is preparing for the next John Wick movie and needs some practice. Show him how its done by getting all your shots on target.,Targets are set up with classical point scoring. Use hammer and nails to attach target to tree. Each scout gets 5 bullets. The highest shot is taken as their final point value.,TRUE,"Keanu Reeves is preparing for the next John Wick movie and needs some practice. Show him how its done by getting all your shots on target.

Targets are set up with classical point scoring. Use hammer and nails to attach target to tree. Each scout gets 5 bullets. The highest shot is taken as their final point value."
29,Scout Laws,17,1,16:30,Lower Field,106,5,129,"The script for the upcoming movie has a scene where the lead character, a former Scout, reflects on the Scout Laws that guided their youth. The director is looking for authenticity and has asked for your help. Can you recite the Scout Laws flawlessly for the scene? ","Ask the Scouts to recite a random Scout Law. Shuffle the order or choice of laws for each Scout to maintain unpredictability. Award points for each correctly recited law. No points will be awarded if the wording is incorrect. Ensure that Scouts only get one attempt to answer.
",TRUE,"The script for the upcoming movie has a scene where the lead character, a former Scout, reflects on the Scout Laws that guided their youth. The director is looking for authenticity and has asked for your help. Can you recite the Scout Laws flawlessly for the scene? 

Ask the Scouts to recite a random Scout Law. Shuffle the order or choice of laws for each Scout to maintain unpredictability. Award points for each correctly recited law. No points will be awarded if the wording is incorrect. Ensure that Scouts only get one attempt to answer.
"
30,First Aid: Wounds and Bleeding,18,1,16:30,Main Field,110,10,130,"During a high-paced chase scene on set, your fellow actor tripped over a cable and took a nasty fall. They've scraped both their wrist and elbow, which now bleed profusely. With the director and crew anxiously looking on, using your first aid knowledge, you jump into action to administer proper treatment to ensure your friend's safety. Time to shine, medic!
","An actor, simulated by a scout, has sustained injuries: a graze on the wrist and a more severe bleeding on the elbow after a fall. The other scout is tasked with correctly addressing these injuries using their first aid kit. Observe their technique and approach for each wound, ensuring they treat both wounds effectively.
Make sure the bandages are correctly applied, they are comfortable and that both wounds are addressed",TRUE,"During a high-paced chase scene on set, your fellow actor tripped over a cable and took a nasty fall. They've scraped both their wrist and elbow, which now bleed profusely. With the director and crew anxiously looking on, using your first aid knowledge, you jump into action to administer proper treatment to ensure your friend's safety. Time to shine, medic!


An actor, simulated by a scout, has sustained injuries: a graze on the wrist and a more severe bleeding on the elbow after a fall. The other scout is tasked with correctly addressing these injuries using their first aid kit. Observe their technique and approach for each wound, ensuring they treat both wounds effectively.
Make sure the bandages are correctly applied, they are comfortable and that both wounds are addressed"
31,Dinner Prep,0,1,16:30,House,802,0,131,,Catering start prepping dinner,TRUE,
32,Media Crew (Scout Promise),0,1,16:45,Front Lawn,803,0,132,,"Capture the solemn and emotional moment of the Scouts reciting the Scout Promise. Use close-up shots to capture the expressions and emotions of the Scouts. Ensure to also get wide-angle shots showcasing the entire group in formation, standing at attention. Use the drone for an overhead view capturing the formation and surrounding environment. Focus on the Scouts making the Scout sign for a poignant touch to the scene. Try to catch the authenticity and commitment in their voices and expressions. Utilize slow zoom-ins during key moments of the promise to emphasize its importance.",TRUE,
33,Scout Promise,19,1,17:00,Front Lawn,106,5,133,"The movie's climactic scene features a Scout reflecting on their commitment to Scouting. However, the actor is having a hard time remembering the lines! Can you assest them and recite the iconic Scout Promise and deliver a performance worthy of an Oscar?","Scouts are asked to say the promise. Award 2 marks for correct promise, 1 mark if generally correct but few words wrong, 0 if they do not recite it. Award 1 mark for standing at attention, and 1 mark for making the Scout sign.",TRUE,"The movie's climactic scene features a Scout reflecting on their commitment to Scouting. However, the actor is having a hard time remembering the lines! Can you assest them and recite the iconic Scout Promise and deliver a performance worthy of an Oscar?

Scouts are asked to say the promise. Award 2 marks for correct promise, 1 mark if generally correct but few words wrong, 0 if they do not recite it. Award 1 mark for standing at attention, and 1 mark for making the Scout sign."
34,Whippings,20,1,17:00,Chapel,108,10,134,"You are about rig a high jump stunt using rope, but it has been cut! Tie a sailmakers whipping and a simple whipping to repair it to avoid disaster.",Scouts to tie a sailmakers whipping on one end of the rope and a simple whipping on the other end of the rope. Whippings are marked according to correctness and neatness.,TRUE,"You are about rig a high jump stunt using rope, but it has been cut! Tie a sailmakers whipping and a simple whipping to repair it to avoid disaster.

Scouts to tie a sailmakers whipping on one end of the rope and a simple whipping on the other end of the rope. Whippings are marked according to correctness and neatness."
35,Triangulation,21,1,17:00,L3,110,10,135,"While shooting an action-packed chase sequence, the movie's main character finds themselves lost in the wilderness. They need to triangulate their position to send for help. Use triangulation to identify your position on a map. Find three noticeable landmarks and take bearings to pinpoint your location. Remember, every degree counts in this nail-biting scene!","Scouts will use triangulation to determine their position on the map. They will take bearings to three noticeable landmarks, identify them on the map, and then use these bearings and the subsequent back bearings to triangulate their position. The back bearings will be triangulated onto the map to form a triangle indicating their position. Bearings and back bearings must be clearly labeled. There is a tolerance of 5 degrees on either side for the bearings. Ensure the scouts follow the instructions accurately.

Important: Judges need to arrive early to take and record the bearings and back bearings for the memo. 
",TRUE,"While shooting an action-packed chase sequence, the movie's main character finds themselves lost in the wilderness. They need to triangulate their position to send for help. Use triangulation to identify your position on a map. Find three noticeable landmarks and take bearings to pinpoint your location. Remember, every degree counts in this nail-biting scene!

Scouts will use triangulation to determine their position on the map. They will take bearings to three noticeable landmarks, identify them on the map, and then use these bearings and the subsequent back bearings to triangulate their position. The back bearings will be triangulated onto the map to form a triangle indicating their position. Bearings and back bearings must be clearly labeled. There is a tolerance of 5 degrees on either side for the bearings. Ensure the scouts follow the instructions accurately.

Important: Judges need to arrive early to take and record the bearings and back bearings for the memo. 
"
36,STA 1: Dinner Invitation,22,1,17:30,Barn,106,10,136,,"Scouts are to make a handwritten dinner invitation addressed to all the judges. Ensure that:
1. The invitation is decorated, neat, and showcases effort.
2. Details of the dinner such as time and campsite location are included.


Evaluation criteria:
1. Decoration: Assess based on design, effort, and involvement of the competition theme. -4
2. Details: -2 
3. Has to look like a movie poster -2
4. Neatness and effort -2
",TRUE,"Scouts are to make a handwritten dinner invitation addressed to all the judges. Ensure that:
1. The invitation is decorated, neat, and showcases effort.
2. Details of the dinner such as time and campsite location are included.


Evaluation criteria:
1. Decoration: Assess based on design, effort, and involvement of the competition theme. -4
2. Details: -2 
3. Has to look like a movie poster -2
4. Neatness and effort -2
"
37,Media Crew (General House and Staff),0,1,17:30,House,803,0,137,,"Get candid shots of the staff in their off-duty moments, showcasing the behind-the-scenes preparations and interactions. Capture the camaraderie, laughter, discussions, and perhaps even moments of relaxation or contemplation. Use the environment of the house area to frame your shots, emphasizing the homely and casual atmosphere. Get close-ups of any equipment, food, or materials that staff might be working with or discussing. This is a great opportunity for B-roll footage, showcasing the human side of the event's organization. If possible, use the drone to get a sweeping shot of the house and surrounding areas, setting the scene for the viewers. Include smooth pan shots to capture the breadth of activities happening in and around the house.
",TRUE,
38,Staff Night Briefing,0,1,18:15,House,800,0,138,,"Thank staff for the day of bases and move into evening activities:
- All staff are judging meals in pairs (no more than 10 mins per patrol)
- Staff dinner will be in the house after judging too teams
- Night base leaders are to set up night bases prior to the bases opening (check the personal sheets for team and equipment)
- After night bases, there will be one final briefing for everyone
- Those not on STA bases have time off",TRUE,
39,Dinner,23,1,19:00,Campsites,148,40,139,,"Scouts are tasked with preparing a three-course meal for themselves and two designated judges. One course must be prepared in a Dutch oven on an open fire, while the other can be prepared on gas. The meals should be well-balanced, incorporating protein, starch, and vegetables. 

Upon the judges' arrival, the patrol leader should greet them and guide them to their seat. Ensure that the entire patrol and the judges are seated comfortably at the pioneered table. Meals should be served promptly and be at the appropriate temperature. See marksheet for evaluation breakdwon",TRUE,"Scouts are tasked with preparing a three-course meal for themselves and two designated judges. One course must be prepared in a Dutch oven on an open fire, while the other can be prepared on gas. The meals should be well-balanced, incorporating protein, starch, and vegetables. 

Upon the judges' arrival, the patrol leader should greet them and guide them to their seat. Ensure that the entire patrol and the judges are seated comfortably at the pioneered table. Meals should be served promptly and be at the appropriate temperature. See marksheet for evaluation breakdwon"
40,Staff Dinner,0,1,19:30,House,800,0,140,,"Chicken Stew / Vegetable Stew 
(and something sweet)",TRUE,
41,Night Bases Parade,24,1,20:15,Main Field,901,0,141,,"Welcome everyone to night bases, the event will be two hours for four bases.
Only four members required per base, teams will be allowed to split up.
Bases will close at 22h30",TRUE,"Welcome everyone to night bases, the event will be two hours for four bases.
Only four members required per base, teams will be allowed to split up.
Bases will close at 22h30"
